INFO:root:Train set: Epoch: [138/300]	Losses: tot:1.11978546	hm:0.39919715	wh:0.49526019	reg:0.12298038	dep:0.00625581	tracking:0.54182611	
INFO:root:Train set: Epoch: [139/300]	Losses: tot:1.21823471	hm:0.42139683	wh:0.54471566	reg:0.12615817	dep:0.00629478	tracking:0.60991336	
INFO:root:Train set: Epoch: [140/300]	Losses: tot:1.15672782	hm:0.40734865	wh:0.51255423	reg:0.12418661	dep:0.00632828	tracking:0.56760885	
INFO:root:Val set: Epoch: [140/300]	Losses: tot:0.90044629	hm:0.34523538	wh:0.39585344	reg:0.10761943	dep:0.00465341	tracking:0.40335273	
INFO:root:Train set: Epoch: [141/300]	Losses: tot:1.12494697	hm:0.40261622	wh:0.49087038	reg:0.12283194	dep:0.00622842	tracking:0.54418335	
INFO:root:Train set: Epoch: [142/300]	Losses: tot:1.18922141	hm:0.40724726	wh:0.52126848	reg:0.12447972	dep:0.00626422	tracking:0.59910337	
INFO:root:Train set: Epoch: [143/300]	Losses: tot:1.13138385	hm:0.40431667	wh:0.51531119	reg:0.12371347	dep:0.00629238	tracking:0.54553021	
INFO:root:Train set: Epoch: [144/300]	Losses: tot:1.13246464	hm:0.39316904	wh:0.49288716	reg:0.12233522	dep:0.00616938	tracking:0.56150228	
INFO:root:Train set: Epoch: [145/300]	Losses: tot:1.18048906	hm:0.40408035	wh:0.51886805	reg:0.12375798	dep:0.00613132	tracking:0.59463261	
INFO:root:Train set: Epoch: [146/300]	Losses: tot:1.16893509	hm:0.40724439	wh:0.52721048	reg:0.12563097	dep:0.00631723	tracking:0.57702146	
INFO:root:Train set: Epoch: [147/300]	Losses: tot:1.1877337	hm:0.40922362	wh:0.51230553	reg:0.12428999	dep:0.00630939	tracking:0.59668014	
INFO:root:Train set: Epoch: [148/300]	Losses: tot:1.11977735	hm:0.39637625	wh:0.51217882	reg:0.12299137	dep:0.00630775	tracking:0.54288409	
INFO:root:Train set: Epoch: [149/300]	Losses: tot:1.16404458	hm:0.40521464	wh:0.50875532	reg:0.12461755	dep:0.00624624	tracking:0.57709061	
INFO:root:Train set: Epoch: [150/300]	Losses: tot:1.14549124	hm:0.40352609	wh:0.51433084	reg:0.12330929	dep:0.00628698	tracking:0.5609358	
INFO:root:Val set: Epoch: [150/300]	Losses: tot:0.8679121	hm:0.3510721	wh:0.43320162	reg:0.10717222	dep:0.00445726	tracking:0.36189035	
INFO:root:Train set: Epoch: [151/300]	Losses: tot:1.12384116	hm:0.39556248	wh:0.49818711	reg:0.12265924	dep:0.00620412	tracking:0.54959661	
INFO:root:Train set: Epoch: [152/300]	Losses: tot:1.08497591	hm:0.39567247	wh:0.497006	reg:0.12191623	dep:0.00601528	tracking:0.51167133	
INFO:root:Train set: Epoch: [153/300]	Losses: tot:1.10440622	hm:0.38520957	wh:0.48035932	reg:0.1216764	dep:0.00596525	tracking:0.54351907	
INFO:root:Train set: Epoch: [154/300]	Losses: tot:1.12906368	hm:0.40026232	wh:0.49537806	reg:0.12268203	dep:0.00608145	tracking:0.55050008	
INFO:root:Train set: Epoch: [155/300]	Losses: tot:1.18161854	hm:0.41085194	wh:0.53870493	reg:0.12427933	dep:0.00618598	tracking:0.5864308	
INFO:root:Train set: Epoch: [156/300]	Losses: tot:1.13246128	hm:0.40056162	wh:0.501117	reg:0.12318649	dep:0.00619911	tracking:0.55240237	
INFO:root:Train set: Epoch: [157/300]	Losses: tot:1.14934497	hm:0.40202064	wh:0.49216534	reg:0.12276103	dep:0.00615436	tracking:0.5691924	
